,mae_mean,var_mean,ppmc_mean,mae_std,var_std,ppmc_std
0,0.200139938,1.036684279,0.992000922,0.032708606,0.023507417,0.001214435
1,1.031174026,1.031643158,0.988698783,0.68049391,0.010825917,0.001590246
2,0.788347946,1.028930899,0.990566388,0.447693514,0.012681473,0.001080743
3,0.656726614,1.031753262,0.990317237,0.336934472,0.011191301,0.000962577
4,0.577687125,1.029980284,0.99045074,0.270371505,0.009191644,0.000742126
5,0.571666067,1.022539218,0.990407731,0.2279631,0.006787534,0.000787849
6,0.548365175,1.020362343,0.990247059,0.19354273,0.005259289,0.000771672
7,0.557501465,1.02311297,0.990281646,0.174425058,0.004927467,0.000583435
8,0.69472841,1.021595349,0.990239402,0.202333817,0.004819965,0.000602083
9,0.819082507,1.020753801,0.990111577,0.258677585,0.003793563,0.000548336
10,0.810569418,1.022331822,0.98993438,0.229202529,0.003588832,0.000421224
11,0.761160571,1.020911891,0.990145423,0.208645141,0.004351939,0.000389833
12,0.802517185,1.019840569,0.990197838,0.185856009,0.003394656,0.00037242
13,0.798223001,1.02237665,0.990069882,0.169380312,0.004017635,0.000334974
14,0.793075083,1.021743805,0.990132579,0.159621811,0.003341247,0.000293296
15,0.816448712,1.020004628,0.990160052,0.155630878,0.003554716,0.000276661
16,0.835273242,1.020223806,0.990091925,0.136194214,0.003975208,0.000285998
17,0.80095456,1.016272163,0.990111625,0.1284815,0.003780166,0.000290571
18,0.785421147,1.014151533,0.99002138,0.115522312,0.004203033,0.000325394
19,0.760487104,1.012161013,0.990124292,0.110230885,0.003746494,0.000344833
20,0.749570401,1.013273675,0.990125709,0.104459335,0.004088343,0.000305919
21,0.736277604,1.014284063,0.990033947,0.097382338,0.003709265,0.000269105
22,0.71804818,1.013502519,0.990032695,0.093797383,0.003625248,0.000301354
23,0.709508227,1.013240684,0.990090689,0.090303135,0.003713971,0.000290477
24,0.697666249,1.014244086,0.99008866,0.087278255,0.003391678,0.000274885
25,0.690211745,1.014405233,0.990125398,0.081847047,0.00311774,0.000267783
26,0.674563761,1.014500723,0.99021461,0.078701302,0.002821586,0.000233335
27,0.665521028,1.014185769,0.990140261,0.07765998,0.003029798,0.000254458
28,0.660873129,1.014964047,0.990181429,0.078426986,0.002972375,0.000261085
29,0.654578543,1.014729207,0.990185117,0.078828539,0.002899884,0.000239252
30,0.651186223,1.014329107,0.990309027,0.077627372,0.002804686,0.000217075
31,0.639775135,1.014453891,0.990303748,0.075865711,0.002965003,0.000227654
32,0.639241024,1.014386058,0.990269498,0.072184093,0.002861208,0.000225305
33,0.630507422,1.015090269,0.990240495,0.068449928,0.002787497,0.000197237
34,0.636244556,1.01511331,0.990271052,0.070258212,0.002489543,0.000197123
35,0.627067074,1.015560865,0.990302231,0.069011474,0.002627913,0.000194751
36,0.65069966,1.015211466,0.990307862,0.082445708,0.002383355,0.000198934
37,0.646946064,1.01490836,0.990261668,0.080111211,0.002322738,0.000195668
38,0.642322807,1.015062894,0.990327168,0.078707879,0.002271403,0.000195701
39,0.635396968,1.014886566,0.990263024,0.076933604,0.002491931,0.00019489
40,0.628213147,1.013961715,0.990241202,0.074431449,0.002198138,0.000178187
41,0.629500114,1.013873384,0.990134176,0.07653368,0.002435088,0.000169932
42,0.623158618,1.013037413,0.990172866,0.074878673,0.002637586,0.000158886
43,0.615294727,1.012727571,0.990185753,0.073390935,0.002473571,0.000173802
44,0.624346258,1.012704306,0.990196609,0.069913447,0.002727225,0.000181645
45,3.115613264,1.012008387,0.990168725,2.522701681,0.002743089,0.000180732
46,3.055218886,1.012060624,0.990204194,2.468719691,0.002701882,0.000173661
47,3.005779809,1.012243876,0.990176567,2.416856319,0.002853884,0.000194597
48,2.952114004,1.011853972,0.990256507,2.366836583,0.002950179,0.000180721
49,2.899468214,1.01178864,0.990251609,2.320144355,0.002752707,0.000151943
50,2.85608717,1.012104279,0.990228636,2.274679542,0.002613245,0.00014634
51,2.806619045,1.012485318,0.990280236,2.230784158,0.00244633,0.000140044
52,2.758655778,1.012722567,0.99029273,2.18881735,0.002481937,0.000142331
53,2.717897938,1.012867377,0.990301422,2.147807281,0.002443539,0.000134215
54,2.673173066,1.012801678,0.990318352,2.109558688,0.002181473,0.000137238
55,2.629153097,1.012340537,0.990371386,2.072201835,0.002082406,0.000131272
56,2.606066365,1.012694566,0.990397296,2.042595067,0.001872269,0.000117402
57,2.565676239,1.012404696,0.990418852,2.007295286,0.001816072,0.000112002
58,2.554783159,1.01214429,0.990443453,1.97070845,0.001815456,0.000109065
59,2.517136386,1.012604492,0.990437582,1.93767443,0.001775305,0.000104595
60,2.486623592,1.011958088,0.990437658,1.905255982,0.001814091,0.000100909
61,2.457096094,1.012249386,0.990471618,1.873475902,0.00159578,0.000101463
62,2.427177246,1.012117427,0.990466044,1.843215553,0.001642628,0.000100589
63,2.395838528,1.012336805,0.990475988,1.814092533,0.001516027,0.000106703
64,2.365943878,1.012254475,0.990460905,1.785611196,0.001675672,0.000109993
65,2.336462905,1.012101388,0.990468242,1.758006234,0.001632952,0.000112028
66,2.30858649,1.011867692,0.990470991,1.731544461,0.001702182,0.000114529
67,2.280986183,1.011896845,0.990495944,1.705722145,0.001601827,0.000108613
68,2.250643426,1.01244585,0.99050805,1.680869318,0.001714903,0.000112006
69,2.224453508,1.012682215,0.990486704,1.657001639,0.001709385,0.000109323
70,2.199214824,1.01247948,0.990497415,1.633063267,0.001864919,9.54E-05
71,2.172007122,1.012184955,0.990520624,1.61057591,0.001930918,9.11E-05
72,2.152389545,1.012642584,0.990490436,1.588088272,0.001789695,8.36E-05
73,2.143032736,1.012671849,0.990475152,1.56516843,0.001926179,7.38E-05
74,2.118336635,1.012543813,0.990471821,1.54468472,0.001780407,7.20E-05
75,2.09363208,1.012250604,0.990488502,1.5242898,0.001826299,7.12E-05
