,mae,var,ppmc,mae_lower,var_lower,ppmc_lower,mae_upper,var_upper,ppmc_upper
0.0,0.07462839692093495,1.1554373114223568,0.9998047311119873,0.07325530552399863,1.1483567167966484,0.999763651328463,0.07595363850249834,1.1625661023866016,0.9998368947259384
0.1,0.04441054561014168,1.09119636914386,0.9998045944264313,0.04310207158892769,1.0842407948215091,0.9997644642781548,0.045695608948364067,1.0979183522252813,0.9998397070414756
0.2,0.018282151379137055,1.0299082304709832,0.9998051342573551,0.01732426336035556,1.023523234663238,0.9997673337085008,0.01930459002631111,1.0363113712413803,0.9998391279050327
0.21,0.016513842290137064,1.0243843148039442,0.99980463639304,0.015555972296298867,1.0178686036214832,0.9997665634702825,0.017411273538852277,1.0304416742826494,0.999839493693449
0.22,0.015077433983702176,1.0182922751994372,0.9998042329077371,0.014184203153745037,1.0126421671344819,0.9997619672444046,0.01601434177809058,1.0244301623133458,0.9998390751639677
0.23,0.014017815073928984,1.012424367076502,0.9998049198554632,0.013208901683009124,1.006142102433377,0.999765979350074,0.01488217016050406,1.018752042025123,0.9998398801044664
0.24,0.013396701173950334,1.0066648180342128,0.9998058913755165,0.012669499529820953,1.000466882941632,0.9997681679559538,0.014139247110777322,1.013121037549739,0.9998392278148392
0.25,0.013310835786601772,1.0007459247851933,0.9998043363197916,0.012617720029904227,0.9945263350851593,0.9997645072772977,0.014043360119291193,1.006881834527343,0.9998372051315587
0.26,0.013583226147759067,0.9950540666882491,0.9998035446704371,0.012826609570006918,0.9891686918972991,0.9997639151499892,0.014296624789120081,1.0013665400709828,0.9998391960372187
0.27,0.014233415065164276,0.9893097796473749,0.9998046599919056,0.01354080314218279,0.9834718276341011,0.9997654533974492,0.015026521349269857,0.9956889335115543,0.999836658898604
0.28,0.015238186440126781,0.9837130131513994,0.9998051682396897,0.014469038084699829,0.9780186769013018,0.9997648716415093,0.016003181430848612,0.9897736604587108,0.9998386983674542
0.29,0.016531184982408163,0.9780040942338832,0.9998045410693677,0.01573805068808997,0.9722973717009157,0.9997669956701133,0.017352230339635715,0.9839603044677012,0.9998398663213234
0.3,0.018031840909041315,0.972218572483737,0.9998040739299395,0.017154056315101918,0.9668009733525906,0.999764154607354,0.018946775805156975,0.9777758877817383,0.9998385447473128
0.4,0.04237938916271922,0.9174845772619963,0.9998041902438862,0.04124325785968525,0.9120631785861372,0.9997673016507921,0.04362544166979081,0.9229400613556682,0.9998391994747824
0.5,0.0698860148458022,0.8654247850642964,0.9998036752480394,0.06876819123325076,0.8603630352743118,0.9997612451727975,0.071008732158953,0.8705676937041604,0.999838922932416
