,mae,var,ppmc,mae_lower,var_lower,ppmc_lower,mae_upper,var_upper,ppmc_upper
0.0,0.07426793664990099,1.1621539140872494,0.999886240630491,0.07395261646021649,1.1570010947432743,0.999859141287853,0.07458325683958549,1.1673067334312246,0.999913339973129
0.1,0.04364301837807639,1.0907257648655955,0.999855639600604,0.04322394908841089,1.084134023014876,0.999822971151324,0.04406208766774189,1.097317506716315,0.9998883080498839
0.2,0.018430830063214814,1.025927908010754,0.9998520167045102,0.01775679653083228,1.0196052594003173,0.9998175671445483,0.01910486359559735,1.0322505566211906,0.9998864662644721
0.21,0.016681447988537584,1.0224024055948477,0.9999035930894757,0.0163485297131785,1.0164545808507128,0.9998949484390602,0.017014366263896668,1.0283502303389827,0.9999122377398912
0.22,0.015334065584264736,1.0134981507326986,0.9998488980363888,0.01495375693780878,1.0070507654394054,0.9998249002956097,0.015714374230720692,1.0199455360259917,0.9998728957771679
0.23,0.014825507160774052,1.0136221885529704,0.9998450579414149,0.014491594645090176,1.0082883226989465,0.9998175058420478,0.015159419676457928,1.0189560544069942,0.999872610040782
0.24,0.013687342449685502,1.0079963524408946,0.9998544103452123,0.013339346300885934,1.0012725429375426,0.9998322300819003,0.01403533859848507,1.0147201619442465,0.9998765906085243
0.25,0.013587805661699887,1.0003347707217007,0.9997819682830114,0.012977625800862922,0.9954040696255199,0.9997358188296699,0.014197985522536852,1.0052654718178815,0.9998281177363528
0.26,0.01360717642564111,0.9981968066896945,0.9998651676750789,0.01335007745229531,0.9911456386082315,0.9998436442281619,0.013864275398986908,1.0052479747711573,0.999886691121996
0.27,0.014762880588288419,0.9875422826596466,0.9998764398380174,0.01427796861018461,0.9817879365660964,0.999861229433121,0.015247792566392228,0.9932966287531968,0.9998916502429139
0.28,0.015411137648298389,0.9825225778648796,0.9999076193413176,0.014600366647083775,0.9771111893566505,0.9998937854282138,0.016221908649513003,0.9879339663731087,0.9999214532544213
0.29,0.016662715063744008,0.9840093149158322,0.9998911206151379,0.016163709439376592,0.9804131415153764,0.9998755859292144,0.017161720688111424,0.987605488316288,0.9999066553010613
0.3,0.017611966223195448,0.9775861797731427,0.9998383240480189,0.01731905498073311,0.974107182987591,0.9998050815292071,0.017904877465657786,0.9810651765586943,0.9998715665668306
0.4,0.04215468012894817,0.9197106627591923,0.9998558569226417,0.041710910356171416,0.9166505976668367,0.9998284245718588,0.04259844990172493,0.922770727851548,0.9998832892734245
0.5,0.06967535521445305,0.8645831733905733,0.9998586727120197,0.06908223398697325,0.8603360810714471,0.9998328598992817,0.07026847644193285,0.8688302657096996,0.9998844855247576
