,result_20,result_30,result_40,result_50,result_60,result_70,result_80,result_90,result_100,result_110,result_120
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254
5,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254
6,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254
7,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254
8,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.9504100816584417,0.8577752341598254,0.9504100816584417
9,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.9504100816584417,0.9646557380629467,0.9504100816584417
10,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.8577752341598254,0.9781042983107215,0.9781042983107215,0.9504100816584417,0.9646557380629467,0.9504100816584417
11,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456
12,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607
13,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9977482277494052,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607
14,0.9941896987610456,0.9941896987610456,0.9941896987610456,0.9977482277494052,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607,0.9970932124997607
15,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701
16,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701
17,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701
18,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701
19,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701,0.9998031513850701
20,0.9999766129119184,0.9999766129119184,0.9999766129119184,0.9998031513850701,0.9998031513850701,0.9999766129119184,0.9999766129119184,0.9999766129119184,0.9999766129119184,0.9999766129119184,0.9999766129119184
