,mae_mean,var_mean,ppmc_mean,mae_std,var_std,ppmc_std
20,0.0008672865853533077,0.00787028202227399,4.772859670490142e-05,3.0530051060563773e-07,3.512298333395633e-05,1.065737191905627e-09
21,0.0008102354747589321,0.007627940418331197,4.57403167168896e-05,2.6430204241826233e-07,3.291050576878124e-05,8.970466812581586e-10
22,0.0008194047733917065,0.007626356744735418,4.6587463145356796e-05,2.9793136105473403e-07,3.2350781007907605e-05,8.999409093322413e-10
23,0.0008330000782514724,0.007429799369332617,4.587950793644453e-05,3.348946506287671e-07,3.201928776129224e-05,8.252749743827831e-10
24,0.0008361672582588687,0.007482414409224696,5.311147349555159e-05,2.636953388352863e-07,3.45631860583254e-05,9.725542374661613e-10
25,0.0008544967379036111,0.007623343710313128,5.264298601970374e-05,3.095831974939025e-07,3.412424826415882e-05,9.46293645295986e-10
26,0.0007710753825933912,0.007376937576543207,4.896283798710717e-05,2.885916108165174e-07,3.301857870897352e-05,7.922368787153323e-10
27,0.0006508361323791735,0.007329845167609968,4.460538883462772e-05,2.3059183384091124e-07,3.1299101687061494e-05,7.181574111477792e-10
28,0.0006539093116395719,0.007232085761425938,4.659793052659186e-05,2.243990047627782e-07,2.96804614856013e-05,7.987527013281144e-10
29,0.0005833172680564305,0.007615780781620166,4.6517408376173896e-05,2.0294870203782715e-07,2.9460043394209666e-05,8.218284634910998e-10
30,0.000559806626956682,0.006836907545205626,4.641211367310025e-05,1.5586785418098336e-07,2.1270636414240793e-05,8.829883093926696e-10
31,0.0005076629240767913,0.007078329056075467,4.5725534941899446e-05,1.2519129175127886e-07,2.2014969255765058e-05,9.222608718343793e-10
32,0.0006684698300927819,0.006878844281917582,4.866437718007803e-05,1.6179959876504037e-07,2.0868748047439812e-05,1.047608697768532e-09
33,0.0007073905917262323,0.006771242783490403,5.373776097624431e-05,2.3700774753767172e-07,1.692675298779081e-05,1.6991730647925461e-09
34,0.0007351069651052578,0.006603108037006228,5.377316655140512e-05,2.840423371655842e-07,1.581348173421275e-05,1.6685432769893978e-09
35,0.0007547164569314547,0.006323471613451086,5.389434739954481e-05,2.888781544509083e-07,1.3226013657211904e-05,1.6582158824435585e-09
36,0.0007288116897068664,0.006204744607658278,5.2612455741972586e-05,2.7522630006458444e-07,1.2861016272348097e-05,1.5690065226474765e-09
37,0.000700946917717844,0.006454437163521011,5.100234980226484e-05,2.832174628894221e-07,1.4591154642480776e-05,1.477622580955769e-09
38,0.0006512296016514629,0.006179064692835878,4.932829813201715e-05,2.3717081913173298e-07,1.3486627855148695e-05,1.394320772841829e-09
39,0.0005523095934671668,0.005854187599775766,4.826636191533813e-05,1.728647918969087e-07,1.4120981772692053e-05,1.313579188212812e-09
40,0.0005899281626470393,0.005714528744057602,4.5862305261065695e-05,1.8116292406122114e-07,1.4124359060974142e-05,1.0968496690368886e-09
41,0.000633391678690594,0.005298454914161526,4.5255182921539264e-05,2.0152349601726533e-07,1.1776183653650461e-05,1.0859462142475311e-09
42,0.0005992387399657481,0.005354003896779286,4.47929695712067e-05,2.066593310549494e-07,1.2522153917975514e-05,1.1393042999654868e-09
43,0.0005770231205757479,0.005226870288918009,4.3379470446548795e-05,1.9201696697999346e-07,1.2342956730280961e-05,1.1181271838257389e-09
44,0.0006063434810639423,0.005759392027356899,4.490812957047324e-05,2.1511343807858851e-07,1.3408554095147e-05,1.1500250857902072e-09
45,0.0005761448971784502,0.0057654264572175986,3.268921043688157e-05,1.803845606418193e-07,1.2870244962224264e-05,3.818915812736935e-10
46,0.0005790531504765116,0.005795476527974398,3.315482750396822e-05,1.97844177879432e-07,1.3488358685735512e-05,3.7288983496125577e-10
47,0.0005946736686478344,0.005829485996465685,3.326153343755339e-05,2.3498162087308753e-07,1.2522784474549973e-05,4.683352586470998e-10
48,0.000645045682628517,0.006148299939336957,3.7840968353116657e-05,2.4665521098513707e-07,1.1934750782521777e-05,8.196000442860103e-10
49,0.0006251443332805983,0.005869999572951362,3.756772359144515e-05,2.3566489092547202e-07,1.210400464992074e-05,8.018652726346866e-10
50,0.0006011211926873469,0.00578196946492139,3.684910502438403e-05,2.1007470861869063e-07,1.188570073311579e-05,7.655593558304406e-10
51,0.0006418412899483843,0.0055046711541682,3.7967892887486324e-05,2.1896165674471793e-07,1.0754352875196356e-05,7.714706329517978e-10
52,0.0006438874556932484,0.005488329646579663,3.784870533223716e-05,2.2038453257144294e-07,1.0443185208961703e-05,7.705974328251633e-10
53,0.0007011253085460508,0.005292374186846782,3.900609922133608e-05,2.390425670005744e-07,9.058162030346833e-06,8.267270852691595e-10
54,0.0006877112559054789,0.005186524647875967,3.8528518261353234e-05,2.2846125985638979e-07,9.090171684435809e-06,8.090147451358146e-10
55,0.0006829264995379398,0.00479400676350894,3.938745915435238e-05,1.9624328021179747e-07,8.610062705186996e-06,8.276116973223788e-10
