,result_200,result_400,result_600,result_800,result_1000
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.45749539436382186,0.45749539436382186,0.0,0.0,0.0
4,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832
5,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832
6,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832
7,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832
8,0.8907320406022499,0.6804774041795832,0.6804774041795832,0.6804774041795832,0.6804774041795832
9,0.8907320406022499,0.6804774041795832,0.9339991974716724,0.9339991974716724,0.9339991974716724
10,0.8907320406022499,0.6804774041795832,0.9339991974716724,0.9339991974716724,0.9339991974716724
11,0.9880333008123808,0.9880333008123808,0.9880333008123808,0.9880333008123808,0.9880333008123808
12,0.9880333008123808,0.9852860013012088,0.9852860013012088,0.9852860013012088,0.9852860013012088
13,0.9880333008123808,0.9852860013012088,0.9852860013012088,0.9852860013012088,0.9852860013012088
14,0.9899347209250917,0.9852860013012088,0.9852860013012088,0.9852860013012088,0.9899347209250917
15,0.995048546732318,0.995048546732318,0.995048546732318,0.995048546732318,0.995048546732318
16,0.995048546732318,0.995048546732318,0.995048546732318,0.995048546732318,0.995048546732318
17,0.995048546732318,0.995048546732318,0.995048546732318,0.995048546732318,0.9963876535028029
18,0.995048546732318,0.995048546732318,0.995048546732318,0.9955770906182819,0.9963876535028029
19,0.9972103601470497,0.9972103601470497,0.9972103601470497,0.9955770906182819,0.9963876535028029
20,0.9972103601470497,0.9972103601470497,0.9972103601470497,0.9988248711705714,0.9963876535028029
