,result_200,result_400,result_600,result_800,result_1000
0,1.0296889153810378,1.0296889153810378,1.0296889153810378,1.0296889153810378,1.0296889153810378
1,1.0296889153810378,1.0296889153810378,1.0296889153810378,1.0296889153810378,1.0296889153810378
2,1.0296889153810378,1.0296889153810378,1.0296889153810378,1.0296889153810378,1.0296889153810378
3,0.5786897717184158,0.5786897717184158,1.0296889153810378,1.0296889153810378,1.0296889153810378
4,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117
5,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117
6,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117
7,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117
8,0.2190574405486795,0.372629976628117,0.372629976628117,0.372629976628117,0.372629976628117
9,0.2190574405486795,0.372629976628117,0.18634552231978654,0.18634552231978654,0.18634552231978654
10,0.2190574405486795,0.372629976628117,0.18634552231978654,0.18634552231978654,0.18634552231978654
11,0.07708662626144783,0.07708662626144783,0.07708662626144783,0.07708662626144783,0.07708662626144783
12,0.07708662626144783,0.055932827701821536,0.055932827701821536,0.055932827701821536,0.055932827701821536
13,0.07708662626144783,0.055932827701821536,0.055932827701821536,0.055932827701821536,0.055932827701821536
14,0.03118462093811208,0.055932827701821536,0.055932827701821536,0.055932827701821536,0.03118462093811208
15,0.013968522087804748,0.013968522087804748,0.013968522087804748,0.013968522087804748,0.013968522087804748
16,0.013968522087804748,0.013968522087804748,0.013968522087804748,0.013968522087804748,0.013968522087804748
17,0.013968522087804748,0.013968522087804748,0.013968522087804748,0.013968522087804748,0.010740954054716364
18,0.013968522087804748,0.013968522087804748,0.013968522087804748,0.009372300335771517,0.010740954054716364
19,0.007218669454202968,0.007218669454202968,0.007218669454202968,0.009372300335771517,0.010740954054716364
20,0.007218669454202968,0.007218669454202968,0.007218669454202968,0.004987134111194867,0.010740954054716364
