,result_200,result_400,result_600,result_800,result_1000
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.4938592727460153,0.4938592727460153,0.0,0.0,0.0
4,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453
5,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453
6,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453
7,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453
8,0.9376711462989783,0.7274211796534453,0.7274211796534453,0.7274211796534453,0.7274211796534453
9,0.9376711462989783,0.7274211796534453,0.9728517507230788,0.9728517507230788,0.9728517507230788
10,0.9376711462989783,0.7274211796534453,0.9728517507230788,0.9728517507230788,0.9728517507230788
11,1.0059910180089155,1.0059910180089155,1.0059910180089155,1.0059910180089155,1.0059910180089155
12,1.0059910180089155,0.9965672612065672,0.9965672612065672,0.9965672612065672,0.9965672612065672
13,1.0059910180089155,0.9965672612065672,0.9965672612065672,0.9965672612065672,0.9965672612065672
14,0.9966742693704916,0.9965672612065672,0.9965672612065672,0.9965672612065672,0.9966742693704916
15,0.9982877557223389,0.9982877557223389,0.9982877557223389,0.9982877557223389,0.9982877557223389
16,0.9982877557223389,0.9982877557223389,0.9982877557223389,0.9982877557223389,0.9982877557223389
17,0.9982877557223389,0.9982877557223389,0.9982877557223389,0.9982877557223389,0.9988650443648412
18,0.9982877557223389,0.9982877557223389,0.9982877557223389,0.997582534637501,0.9988650443648412
19,0.9989376703910661,0.9989376703910661,0.9989376703910661,0.997582534637501,0.9988650443648412
20,0.9989376703910661,0.9989376703910661,0.9989376703910661,0.9998515654266161,0.9988650443648412
