,mae,var,ppmc,mae_lower,var_lower,ppmc_lower,mae_upper,var_upper,ppmc_upper
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,0.07236094198709192,1.0128790781691546,0.9976654773403195,0.07236094198709192,1.0128790781691546,0.9976654773403195,0.07236094198709192,1.0128790781691546,0.9976654773403195
