names,PAWNi,PAWNi_conf
x1,0.18234686686686685,0.02329277749361127
x2,0.18795356356356357,0.022941810117338847
x3,0.17836067067067068,0.021536567017403627
x4,0.15223365365365366,0.02254281671722088
x5,0.05931045045045045,0.02212428702660698
x6,0.05187774774774775,0.019315788963274478
x7,0.04997304304304304,0.01922645403188114
x8,0.05175753753753755,0.019299202217912963
x9,0.04649514514514515,0.020238377043388458
x10,0.04188632632632633,0.01761784434820013
x11,0.03928034034034034,0.020165489815795853
x12,0.027392462462462464,0.015670113632523856
x13,0.030162662662662664,0.01544006710361226
x14,0.02374994994994995,0.015043801847723245
x15,0.025153093093093094,0.014290934632128587
x16,0.03154393393393394,0.016537773435067248
x17,0.02518038038038038,0.014956281884738269
x18,0.025465035035035034,0.015051773987003117
x19,0.02567407407407408,0.014413173466496294
x20,0.02568598598598599,0.012936699751263617
x21,0.02878897897897898,0.01712740815928579
dummy,0.023558078078078082,0.01688890456436059
