,mae,var,ppmc,mae_lower,var_lower,ppmc_lower,mae_upper,var_upper,ppmc_upper
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,0.055535389670607616,0.9756790759558004,0.9977922579136799,0.055535389670607616,0.9756790759558004,0.9977922579136799,0.055535389670607616,0.9756790759558004,0.9977922579136799
