,0
4530,1.1660767859677202e-07
4540,1.159714468734259e-07
4550,1.1538002151340089e-07
4560,1.147754374845291e-07
4570,1.1411682703449932e-07
4580,1.1360227543960268e-07
4590,1.1306365227499436e-07
4600,1.1238538037975467e-07
4610,1.1184235448572096e-07
4620,1.1116733021705608e-07
4630,1.1071755718815525e-07
4640,1.1011950804176371e-07
4650,1.1015576752838405e-07
4660,1.0963293812179255e-07
4670,1.0898171388456304e-07
4680,1.0889781790384374e-07
4690,1.0835580756320741e-07
4700,1.0779967910560816e-07
4710,1.071650010592932e-07
4720,1.0653545002543772e-07
4730,1.0592483364725474e-07
4740,1.0540734331854393e-07
4750,1.0478541347031707e-07
4760,1.0439593699081112e-07
4770,1.0379719900957172e-07
4780,1.0400565295565167e-07
4790,1.0340528799590537e-07
4800,1.0293522166135031e-07
4810,1.0235266829037293e-07
4820,1.017545492375268e-07
4830,1.0166721715975465e-07
4840,1.0115301908410673e-07
4850,1.0057710535840301e-07
4860,1.0006667863136165e-07
4870,9.950008845119587e-08
4880,9.898371441360458e-08
4890,9.865482382045165e-08
4900,9.81967401546543e-08
4910,9.767865509190813e-08
4920,9.747488112598363e-08
4930,9.703931080739147e-08
4940,9.666039787469686e-08
4950,9.62523783333473e-08
4960,9.571390756767133e-08
4970,9.532862159277664e-08
4980,9.479248827531211e-08
4990,9.53706952387809e-08
5000,9.490716577743369e-08
