,mae,var,ppmc,mae_lower,var_lower,ppmc_lower,mae_upper,var_upper,ppmc_upper
0.0,0.2998161805018915,1.6717984556289325,0.9976304096758067,0.27355110897907486,1.5872025359406254,0.9953153182831952,0.32921238026621064,1.831567585119285,0.9993114940445237
0.1,0.17044551579661865,1.3537680351417272,0.9976463705678038,0.1484607033605052,1.290374673347407,0.9953504564850764,0.1970792307330587,1.4758104830032213,0.9992932441838739
0.2,0.06559166108180783,1.0948881650624358,0.9976496792438718,0.047149620734152194,1.0433357965937047,0.995297252555402,0.0884154521356072,1.1985796124101045,0.9992657405518625
0.21,0.06040544494798322,1.0721740947915177,0.9976435656328364,0.043000591693845465,1.021811424019579,0.9953146513055802,0.0808637433910149,1.173268961164813,0.9992550350447066
0.22,0.05623973323763734,1.051725741422271,0.9975469771727384,0.03835335260403119,1.001088548462521,0.9951048099050244,0.07815306900654832,1.1548879997416974,0.9992472092969952
0.23,0.05441833900400732,1.0271283884210347,0.9976448244458063,0.03905988595011256,0.9784314025172918,0.9951483019750875,0.07187983816035289,1.12904209540168,0.9993410083848798
0.24,0.05443120226183694,1.0031030751041885,0.9977066129179171,0.041163449372418975,0.9571019986548498,0.9952289841155785,0.06841002167133198,1.0896977102981158,0.9993831435050179
0.25,0.055475177338162124,0.9826475622628125,0.9976928566515069,0.04469507403439334,0.9370202012626431,0.9954476948635893,0.06767161464026843,1.067227194290678,0.9993216499508738
0.26,0.057229780806909394,0.9601325296685049,0.9976945521017377,0.04813997933980015,0.9151900540475625,0.9952910587497246,0.06767063005694308,1.0522911545991969,0.9993161208213633
0.27,0.0588568829658548,0.9406669259555912,0.9976487941994505,0.04887942954609201,0.8950214155158727,0.9953224309639542,0.06859956994889661,1.0248727795704577,0.9993113327031348
0.28,0.0618130917863772,0.9212294214573067,0.9976222777582611,0.05138385469962874,0.8761253531955389,0.9953955509466861,0.0720809132886894,1.0043903325498713,0.9992992969577663
0.29,0.0650849894466973,0.9017618156494023,0.9976454448223976,0.053031737353290496,0.8574569420381742,0.9954027457666733,0.07637714217636724,0.9829425057109631,0.9993337355953881
0.3,0.07042158735068078,0.8799648543763604,0.9976673642759206,0.057262686194425476,0.8386042051545255,0.9952822046986808,0.08252687869307919,0.9570255738517003,0.9992748049523307
0.4,0.1547942057924285,0.707085616740647,0.997602120810254,0.13713234306343236,0.6739093858900678,0.9952437538577468,0.1705305439512112,0.7697530811115079,0.9992355681437854
0.5,0.245578519098067,0.5632564835356432,0.9975994159711958,0.2283554184564871,0.5354471979418268,0.9951718780110704,0.2599397526106428,0.6147455089919446,0.9992938056058068
